"shapeid","x","y"
"0","-70.9774449639","42.1370102053"
"0","-70.9755087386","42.1354615243"
"1","-70.944573066","42.130066206"
"1","-70.9446993151","42.1312113703"
"2","-70.9500289379","42.130243891"
"2","-70.9500654","42.1312485059"
"3","-70.9690615355","42.132349846"
"3","-70.965779488","42.1304821516"
"4","-70.944830981","42.1331201598"
"4","-70.94481216","42.1348836005"
"5","-70.9487536541","42.1099612629"
"5","-70.9487526029","42.1100324971"
"6","-70.948760174","42.1085289667"
"6","-70.9487536541","42.1099612629"
"7","-70.9487358026","42.1042629295"
"7","-70.9487496222","42.1059244329"
"8","-70.926807287","42.100532057"
"8","-70.9277939894","42.1033071493"
"9","-70.9268429933","42.0985773886"
"9","-70.926807287","42.100532057"
"10","-70.9268538307","42.098146551"
"10","-70.9268429933","42.0985773886"
"11","-70.9290802211","42.1054946454"
"11","-70.9293700003","42.1060436118"
"12","-70.9474908344","42.105853348"
"12","-70.9462941217","42.1057372768"
"13","-70.9487496222","42.1059244329"
"13","-70.9474908344","42.105853348"
"14","-70.9498328139","42.1272498944"
"14","-70.9499001808","42.1278725763"
"15","-70.9523047344","42.1293893444"
"15","-70.9515848047","42.1293555138"
"16","-70.9742500764","42.0903303033"
"16","-70.9736065074","42.0906762122"
"17","-70.9490452743","42.1183063261"
"17","-70.9491676071","42.1194514685"
"18","-70.9492313722","42.1206632574"
"18","-70.9493499451","42.1228297351"
"19","-70.9491676071","42.1194514685"
"19","-70.9492313722","42.1206632574"
"20","-70.948723471","42.1116812957"
"20","-70.9487858302","42.1144983359"
"21","-70.9413826146","42.1252282698"
"21","-70.9421933958","42.1259288548"
"22","-70.9616229204","42.129851597"
"22","-70.9588537439","42.1296899991"
"23","-70.9487637005","42.1076005091"
"23","-70.948760174","42.1085289667"
"24","-70.9363675338","42.1160000017"
"24","-70.9368088701","42.1187532658"
"25","-70.9736065074","42.0906762122"
"25","-70.972639753","42.0911911476"
"26","-70.9487526029","42.1100324971"
"26","-70.948723471","42.1116812957"
"27","-70.9487858302","42.1144983359"
"27","-70.9488222302","42.1149063012"
"28","-70.9488222302","42.1149063012"
"28","-70.9490290771","42.118191457"
"29","-70.9490290771","42.118191457"
"29","-70.9490452743","42.1183063261"
"30","-70.94481216","42.1348836005"
"30","-70.9452119705","42.1384221667"
"31","-70.9532346845","42.1049034796"
"31","-70.9506925524","42.1058788742"
"32","-70.9506925524","42.1058788742"
"32","-70.9503937963","42.1059534099"
"33","-70.95469144","42.1041502004"
"33","-70.9541728548","42.104504487"
"34","-70.9541728548","42.104504487"
"34","-70.9532346845","42.1049034796"
"35","-70.972639753","42.0911911476"
"35","-70.9723644621","42.0913401246"
"36","-70.9347924209","42.1282981717"
"36","-70.9346294295","42.1283477982"
"37","-70.935365485","42.1281203696"
"37","-70.9347924209","42.1282981717"
"38","-70.9427563547","42.1279956128"
"38","-70.941456854","42.1279814122"
"39","-70.9498220688","42.1271164787"
"39","-70.9498328139","42.1272498944"
"40","-70.9374817503","42.1073898232"
"40","-70.937386983","42.1074229719"
"41","-70.938484645","42.1070711545"
"41","-70.9374817503","42.1073898232"
"42","-70.9333710631","42.1105330985"
"42","-70.9353121624","42.1129458835"
"43","-70.9462941217","42.1057372768"
"43","-70.9453639317","42.1065969547"
"44","-70.972886595","42.134216566"
"44","-70.9700939576","42.133126812"
"45","-70.9700939576","42.133126812"
"45","-70.9690615355","42.132349846"
"46","-70.941456854","42.1279814122"
"46","-70.9399723112","42.1279702244"
"47","-70.9384746142","42.1224584555"
"47","-70.9402485186","42.1242284212"
"48","-70.937386983","42.1074229719"
"48","-70.9353123547","42.1082772048"
"49","-71.4347115363","42.5224831827"
"49","-71.4341769716","42.5220663043"
"50","-71.4033496018","42.5228542408"
"50","-71.4027592752","42.5242558709"
"51","-71.4765863042","42.4762235378"
"51","-71.4779399397","42.4764297396"
"52","-71.4335637005","42.4855952677"
"52","-71.4329907941","42.4860473149"
"53","-71.4194855588","42.5019336944"
"53","-71.418328501","42.5033541474"
"54","-70.950240746","42.1338587612"
"54","-70.9503195574","42.1359241537"
"55","-71.4287255424","42.5154805963"
"55","-71.4273876129","42.5147516891"
"56","-71.405062171","42.517683769"
"56","-71.4046794063","42.5185679399"
"57","-71.4551735399","42.4716433439"
"57","-71.4543794837","42.4735138735"
"58","-71.4550849834","42.4612464857"
"58","-71.4553256352","42.4615791143"
"59","-71.4541776142","42.4593915939"
"59","-71.4542059448","42.459450365"
"60","-71.4289379706","42.4411496682"
"60","-71.4271221087","42.441806221"
"61","-71.4100091712","42.4760906199"
"61","-71.4090478251","42.4754563124"
"62","-71.4638134614","42.4757009008"
"62","-71.4642316752","42.4757280372"
"63","-71.4246110605","42.513314019"
"63","-71.4242546241","42.5131050421"
"64","-71.4735344434","42.476114845"
"64","-71.4746996246","42.4761516814"
"65","-71.4746996246","42.4761516814"
"65","-71.4755161329","42.4761681748"
"66","-71.4127500524","42.4699332857"
"66","-71.4085466166","42.4694204391"
"67","-71.4542059448","42.459450365"
"67","-71.4544204532","42.4599284775"
"68","-71.454056515","42.4590826522"
"68","-71.4541776142","42.4593915939"
"69","-71.4559854652","42.4697927915"
"69","-71.4551735399","42.4716433439"
"70","-71.4562183326","42.4681597622"
"70","-71.4559854652","42.4697927915"
"71","-71.4198520575","42.5013431615"
"71","-71.4194855588","42.5019336944"
"72","-71.4545957492","42.453390421"
"72","-71.4546114086","42.4540230612"
"73","-71.4544660417","42.4522229434"
"73","-71.4545445538","42.4529145251"
"74","-71.454330693","42.4509182662"
"74","-71.4544660417","42.4522229434"
"75","-71.4542063943","42.4496530675"
"75","-71.454330693","42.4509182662"
"76","-71.4538510343","42.4461903371"
"76","-71.4540830481","42.448453989"
"77","-71.4540830481","42.448453989"
"77","-71.4542063943","42.4496530675"
"78","-71.4535496578","42.4751255612"
"78","-71.4518847159","42.4761421633"
"79","-71.4003747292","42.5320066006"
"79","-71.4002494895","42.5321876675"
"80","-71.4002494895","42.5321876675"
"80","-71.3994142673","42.5335250102"
"81","-71.4039641201","42.5214104257"
"81","-71.4033496018","42.5228542408"
"82","-71.406901515","42.5147994224"
"82","-71.4061402684","42.515657974"
"83","-71.4061402684","42.515657974"
"83","-71.4058806497","42.5159632863"
"84","-71.4058806497","42.5159632863"
"84","-71.405062171","42.517683769"
"85","-71.4779399397","42.4764297396"
"85","-71.4798761379","42.476779501"
"86","-71.4798761379","42.476779501"
"86","-71.4806337094","42.4769152324"
"87","-71.4537636145","42.4748668217"
"87","-71.4535496578","42.4751255612"
"88","-71.4201117631","42.5034172854"
"88","-71.4197125982","42.5024824427"
"89","-71.4134065002","42.469968222"
"89","-71.4127500524","42.4699332857"
"90","-71.4258889558","42.4711250314"
"90","-71.4198159219","42.470351736"
"90","-71.4134065002","42.469968222"
"91","-71.4409543136","42.4727763212"
"91","-71.4397601153","42.4725607673"
"92","-71.4503626329","42.4769011071"
"92","-71.4499828947","42.477113634"
"93","-71.4329907941","42.4860473149"
"93","-71.4312811806","42.4873769896"
"94","-71.416293195","42.4925159447"
"94","-71.416295472","42.4922363108"
"95","-71.4163672923","42.4944054005"
"95","-71.4163514609","42.4941595075"
"96","-71.4289318131","42.5156079479"
"96","-71.4287255424","42.5154805963"
"97","-71.4491517191","42.4775724253"
"97","-71.4484863474","42.4779826837"
"97","-71.4480310829","42.4783021527"
"98","-71.4518847159","42.4761421633"
"98","-71.4503626329","42.4769011071"
"99","-71.4461806629","42.4738624949"
"99","-71.4442124119","42.4734154344"
"100","-71.4466021428","42.473921276"
"100","-71.4461806629","42.4738624949"
"101","-71.4043736888","42.5197718153"
"101","-71.4041381288","42.5207121639"
"102","-71.4423650784","42.4730437348"
"102","-71.4409543136","42.4727763212"
"103","-71.4722717776","42.4760701008"
"103","-71.4735344434","42.476114845"
"104","-71.4665737694","42.4758739099"
"104","-71.4711685147","42.4760387029"
"105","-71.4473474114","42.478887075"
"105","-71.4470152141","42.4792308588"
"106","-71.4597843105","42.4754041685"
"106","-71.4615596528","42.475547082"
"107","-71.4615596528","42.475547082"
"107","-71.4638134614","42.4757009008"
"108","-71.486092184","42.4778476687"
"108","-71.4885564171","42.4783173918"
"109","-71.4842546188","42.4775234547"
"109","-71.486092184","42.4778476687"
"110","-71.4565026391","42.4649329216"
"110","-71.4563943197","42.4669844324"
"111","-71.4133003848","42.477972423"
"111","-71.4128954331","42.4776709739"
"112","-71.4563943197","42.4669844324"
"112","-71.4563288434","42.4675520671"
"113","-71.4476386211","42.4786108571"
"113","-71.4473474114","42.478887075"
"114","-71.4480310829","42.4783021527"
"114","-71.4476386211","42.4786108571"
"115","-71.4373640649","42.4833287653"
"115","-71.4340659704","42.4852342854"
"116","-71.4340659704","42.4852342854"
